long,temp C,temp F,month,day,date
37.6,0,32,Oct,18,18OCT1812
36,0,32,Oct,24,24OCT1812
33.2,-11,12,Nov,9,09NOV1812
32,-26,-15,Nov,14,14NOV1812
29.2,-14,7,Nov,24,24NOV1812
28.5,-25,-13,Nov,28,28NOV1812
27.2,-30,-22,Dec,1,01DEC1812
26.7,-38,-36,Dec,6,06DEC1812
25.3,-33,-27,Dec,7,07DEC1812
