year,literacyRate
1900,21.404259
1910,26.445602
1920,31.623163
1930,32.52763
1940,41.879223
1950,35.959377
1960,41.620377
1970,55.622616
1980,56.052563
1990,68.25085
2000,80.78488
2006,82.46365
2007,82.92806
2008,83.25666
2009,83.5132
2010,84.16
2011,84.32265
2012,84.76106
2013,84.86014
2014,85.43371
2015,85.60183
2016,86.06116
2017,86.28823
2018,86.33905
2019,86.4896
2020,86.71151
2021,86.85275
2022,87.01175
